AKTYWO,PARA,INTERWAŁ,STATUS,LICZBA_ŚWIEC,ŹRÓDŁO,BŁĄD
BTC,BTCUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
BTC,BTCUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
BTC,BTCUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
ETH,ETHUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
ETH,ETHUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
ETH,ETHUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
SOL,SOLUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
SOL,SOLUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
SOL,SOLUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
LINK,LINKUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
LINK,LINKUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
LINK,LINKUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
ONDO,ONDOUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
ONDO,ONDOUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
ONDO,ONDOUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
RENDER,RENDERUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
RENDER,RENDERUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
RENDER,RENDERUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
FLOKI,FLOKIUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
FLOKI,FLOKIUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
FLOKI,FLOKIUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
PEPE,PEPEUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
PEPE,PEPEUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
PEPE,PEPEUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
SPX6900,SPXUSDT,1H,BŁĄD,0,,451 Client Error:  for url: https://api.binance.com/api/v3/klines?symbol=SPXUSDT&interval=1h&limit=500
SPX6900,SPXUSDT,4H,BŁĄD,0,,451 Client Error:  for url: https://api.binance.com/api/v3/klines?symbol=SPXUSDT&interval=4h&limit=500
SPX6900,SPXUSDT,1D,BŁĄD,0,,451 Client Error:  for url: https://api.binance.com/api/v3/klines?symbol=SPXUSDT&interval=1d&limit=500
XRP,XRPUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
XRP,XRPUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
XRP,XRPUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
XLM,XLMUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
XLM,XLMUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
XLM,XLMUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
HBAR,HBARUSDT,1H,OK,500,https://data-api.binance.vision/api/v3/klines,
HBAR,HBARUSDT,4H,OK,500,https://data-api.binance.vision/api/v3/klines,
HBAR,HBARUSDT,1D,OK,500,https://data-api.binance.vision/api/v3/klines,
